GameId,TeamName,Number,Name,Goals,OwnGoals,RedCards,YellowCards,SubbedOff,SubbedOn
NWRFKCF20140314,Whittlesea Ranges FC,9,Daniel Peluso,1,0,0,0,45,0
NWRFKCF20140314,Whittlesea Ranges FC,7,Matthew Iuliano,1,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,3,Daniel Sotiropoulos,0,1,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,16,Berkan Yurdakul,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,2,Lachlan Stagg,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,5,Kliment Dimitrieski,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,1,Anthony Raspudic,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,17,John Reale,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,8,Nicholas Sarbin,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,6,Ahmet Turer,0,0,0,0,64,0
NWRFKCF20140314,Whittlesea Ranges FC,11,Rami Mustafoski,0,0,0,0,0,45
NWRFKCF20140314,Whittlesea Ranges FC,12,Daniel Giogha,0,0,0,0,45,0
NWRFKCF20140314,Whittlesea Ranges FC,14,Mark Vangeli,0,0,0,0,0,0
NWRFKCF20140314,Whittlesea Ranges FC,18,Mile Ristov,0,0,0,0,0,64
NWRFKCF20140314,Whittlesea Ranges FC,13,Tomislav Trbuhovich,0,0,0,0,0,45
NWRFKCF20140314,Kingston City FC,7,Velibor Mitrovic,1,1,0,0,0,73
NWRFKCF20140314,Kingston City FC,15,Gino Defeo,1,0,0,0,0,66
NWRFKCF20140314,Kingston City FC,9,Maximillian Etheridge,1,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,11,George Stavridis,0,2,0,0,0,0
NWRFKCF20140314,Kingston City FC,17,Deniz Sabanovski,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,26,Sermin Sadikovski,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,3,Stacy Tsalkos,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,10,John Maclean,0,0,0,0,73,0
NWRFKCF20140314,Kingston City FC,13,George Malliaras,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,4,James Karvelis,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,5,Kemal Curan,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,2,Peter Lord,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,16,Nicholas Stamatiou,0,0,0,0,0,0
NWRFKCF20140314,Kingston City FC,8,Anthony Stavridis,0,0,0,0,62,0
NWRFKCF20140314,Kingston City FC,14,Arthur Papadopoulos,0,0,0,0,66,0
NWRFKCF20140314,Kingston City FC,18,Andrew Doig,0,0,0,0,0,62
NDCSNGWF20140315,Dandenong City SC,10,Keegan Ziada,1,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,3,Halil Gur,0,1,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,9,Damien Miskulin,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,1,Dennys Martin,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,19,Nicholas Glavan,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,5,Alex Rojas,0,0,0,0,0,62
NDCSNGWF20140315,Dandenong City SC,15,Andres Jerez,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,23,Steven Topalovic,0,0,0,0,0,85
NDCSNGWF20140315,Dandenong City SC,8,Dario Matkovic,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,6,John Carroll,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,14,Goran Jozeljic,0,0,0,0,62,0
NDCSNGWF20140315,Dandenong City SC,12,Shaun Filipovic,0,0,0,0,0,71
NDCSNGWF20140315,Dandenong City SC,31,Kirby Ziada,0,0,0,0,0,0
NDCSNGWF20140315,Dandenong City SC,11,Raymond Lay,0,0,0,0,71,0
NDCSNGWF20140315,Dandenong City SC,17,Danijel Buhic,0,0,0,0,85,0
NDCSNGWF20140315,North Geelong Warriors FC,8,Vito Simon Cichello,1,0,0,0,0,0
NDCSNGWF20140315,North Geelong Warriors FC,2,Matthew Townley,1,0,0,0,0,0
NDCSNGWF20140315,North Geelong Warriors FC,7,Reardo Luka,0,1,0,0,0,0
NDCSNGWF20140315,North Geelong Warriors FC,3,Jackson Davis,0,0,0,0,0,0
NDCSNGWF20140315,North Geelong Warriors FC,9,Michael Anderson,0,0,0,0,0,0
